State,District,Latitude,Longitude,District code,Population,Male,Female,Households_with_Internet,Male_Literate,Female_Literate,Total_Power_Parity,literacy_rate,sex_ratio
Uttar Pradesh,Lalitpur,24.58877161016945,78.60082330508473,167,1221592,641011,580581,1079,397586,243605,1287,52.0,91.0
Uttar Pradesh,Lucknow,26.838233589251463,80.89706026871404,157,4589838,2394476,2195362,68506,1742440,1384820,7486,68.0,92.0
Uttar Pradesh,Mahoba,25.34529670138888,79.67863003472216,169,875958,466358,409600,1316,302283,185823,904,56.0,88.0
Uttar Pradesh,Mainpuri,27.17386862302482,79.03501851015807,148,1868529,993377,875152,2642,712110,491775,1998,64.0,88.0
Uttar Pradesh,Mathura,27.59390432801821,77.62153416856502,145,2547184,1367125,1180059,8726,943346,564400,3025,59.0,86.0
Uttar Pradesh,Mau,26.01082203791469,83.50582654028433,192,2205968,1114709,1091259,2656,773082,589962,2693,62.0,98.0
Uttar Pradesh,Meerut,29.02957625698323,77.80611005586593,138,3443689,1825743,1617946,23717,1254520,886968,4953,62.0,89.0
Uttar Pradesh,Mirzapur,25.10207959183675,82.60126628571429,199,2496970,1312302,1184668,4447,865837,562846,2875,57.0,90.0
Uttar Pradesh,Moradabad,28.851770406189537,78.73580193423597,135,4772006,2503186,2268820,11690,1357435,906413,5452,47.0,91.0
Uttar Pradesh,Muzaffarnagar,29.470507977736563,77.64017847866423,133,4143512,2193434,1950078,10077,1448528,968811,4871,58.0,89.0
Uttar Pradesh,Pilibhit,28.52024175035868,79.90103974175037,151,2031007,1072002,959005,2870,654290,406805,2125,52.0,89.0
Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,131,867848,437744,430104,716,250122,151393,2829,46.0,98.0
Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,173,3209141,1606085,1603056,5149,1121381,810178,3639,60.0,100.0
Uttar Pradesh,Rae Bareli,26.253902840059787,81.22260463378181,158,3405559,1752542,1653017,5184,1165965,799878,3812,58.0,94.0
Uttar Pradesh,Rampur,28.83244727272725,79.10977333333337,136,2335819,1223889,1111930,3847,630408,413258,2545,45.0,91.0
Uttar Pradesh,Saharanpur,30.03381165217392,77.59905147826095,132,3466382,1834106,1632276,9699,1220114,856994,4029,60.0,89.0
Uttar Pradesh,Sant Kabir Nagar,26.791596516393444,83.0387764344262,186,1715183,869656,845527,2031,567098,387851,1850,56.0,97.0
Uttar Pradesh,Shahjahanpur,27.991389350649328,79.8302275324675,152,3006538,1606403,1400135,3889,915142,575788,3441,50.0,87.0
Uttar Pradesh,Sitapur,27.501995963091108,80.85288881199547,154,4483992,2375264,2108728,3874,1397702,886031,4535,51.0,89.0
Uttar Pradesh,Sonbhadra,24.46693268858798,83.06816324951639,200,1862559,971344,891215,5149,601988,383720,2337,53.0,92.0
Uttar Pradesh,Sultanpur,26.2846386419753,82.05710456790123,179,3797117,1914586,1882531,5956,1300248,939654,4190,59.0,98.0
Uttar Pradesh,Unnao,26.63163990895297,80.636773292868,156,3108367,1630087,1478280,3476,1053063,720521,3620,57.0,91.0
Uttar Pradesh,Varanasi,25.36057088888889,82.82529666666672,197,3676841,1921857,1754984,19214,1389116,1014787,5059,65.0,91.0
Uttaranchal,Almora,29.683532133676103,79.50165064267351,64,622506,291081,331425,1830,231604,204893,742,70.0,114.0
Uttaranchal,Bageshwar,29.98703393393397,79.83954354354357,63,259898,124326,135572,435,97546,81937,281,69.0,109.0
Uttaranchal,Chamoli,30.58338611464965,79.56281095541402,57,391605,193991,197614,899,155395,125161,467,72.0,102.0
Uttaranchal,Champawat,29.29142393939393,80.07720212121217,65,259648,131125,128523,548,102015,75711,309,68.0,98.0
Uttaranchal,Pithoragarh,30.14720631868129,80.34229230769236,62,483439,239306,244133,1344,189623,155927,631,71.0,102.0
Uttaranchal,Tehri Garhwal,30.463700918635173,78.48783792650917,59,618931,297986,320945,1366,227406,180588,743,66.0,108.0
Uttaranchal,Udham Singh Nagar,29.02779577677222,79.45629004524895,67,1648902,858783,790119,7883,598525,439314,1805,63.0,92.0
Uttaranchal,Uttarkashi,30.968958552036234,78.56880615384617,56,330086,168597,161489,602,128237,86889,356,65.0,96.0
West Bengal,Bankura,23.081280892857155,87.12640053571437,339,3596674,1838095,1758579,4273,1299337,933655,3959,62.0,96.0
West Bengal,Barddhaman,23.444453888888884,87.8150581111111,335,7717563,3966889,3750674,32323,2918040,2329168,13547,68.0,95.0
West Bengal,Birbhum,24.06389342723,87.65153089201888,334,3502404,1790920,1711484,5210,1201481,956966,3911,62.0,96.0
West Bengal,Dakshin Dinajpur,25.342094363021435,88.69821679819614,331,1676276,857199,819077,2518,596474,487211,2039,65.0,96.0
West Bengal,Darjiling,26.839619571045585,88.33145067024122,327,1846823,937259,909564,10943,717673,597912,3146,71.0,97.0
West Bengal,Haora,22.401674174428507,87.99421176968654,341,4850029,2500819,2349210,30751,1942824,1662382,9414,74.0,94.0
West Bengal,Hugli,22.87929264705881,88.00010264705891,338,5519145,2814653,2704492,31725,2211777,1866611,9450,74.0,96.0
West Bengal,Jalpaiguri,26.62642031250004,89.04154375000003,328,3872846,1983064,1889782,9322,1396622,1102158,5160,65.0,95.0
West Bengal,Kolkata,22.550581481481483,88.3527648148148,342,4496694,2356766,2139928,136618,1926915,1661222,16375,80.0,91.0
West Bengal,Maldah,25.08026802575105,88.17191684549356,332,3988845,2051541,1937304,5357,1152019,934413,4191,52.0,94.0
West Bengal,Murshidabad,24.25950655391121,88.16816860465121,333,7103807,3627564,3476243,7951,2177187,1878647,8088,57.0,96.0
West Bengal,Nadia,23.56410971055088,88.58293034547152,336,5167600,2653768,2513832,12787,1878866,1601689,7048,67.0,95.0
West Bengal,Puruliya,23.254192328767108,86.3968532876713,340,2930115,1496996,1433119,3551,1002058,622847,3309,55.0,96.0
West Bengal,Uttar Dinajpur,26.044619165196977,88.23595232216337,330,3007134,1551066,1456068,2883,853495,636172,3214,50.0,94.0
